failed,seed,loss,intent_acc,intent_micro_f1,intent_micro_precision,intent_micro_recall,intent_macro_f1,intent_threshold_used,slot_precision,slot_recall,slot_f1,mean_intent_slot,mean_f1,semantic_acc,mean_exit_layer,std_exit_layer,pct_full_pass,layer_savings_pct,balanced_score,train_wall_time_sec,peak_gpu_mem_MB,num_unfrozen_layers,num_layers,est_train_flops_per_sample,est_inference_flops_per_sample,experiment,intent_loss_fn,unfrozen_ratio,min_unfrozen_ratio_floor,ee_patience_decay,exit_logit_smoothing,use_freq_exit,require_joint_stability,min_exit_layer,ee_patience
False,44,0.013586851818197498,0.9986002799440112,0.9995803608896349,0.9993706733794839,0.9997901364113326,0.7774514911493515,0.1,0.9684466019417476,0.975987606506584,0.9722024812686552,0.9854013806063332,0.985891421079145,0.8584283143371326,9.000999450683594,0.04689349979162216,0.0,0.3999333699544271,0.8177219446090229,7107.707749997266,10491.50244140625,12,16,161061273600.0,100663296000.0,B3_pabee,bce,0.7566455605042577,0.0,0.07697990982879299,True,False,False,4.0,
False,42,0.013197394387270979,0.9998000399920016,0.9999475368553591,0.9998950792151925,1.0,0.7777359909740504,0.05,0.9687942688306957,0.9758245342247951,0.9722966934763182,0.98604836673416,0.9861221151658386,0.859628074385123,9.007598876953125,0.14121703803539276,0.0,0.39949340820312496,0.818269507716866,7115.049415544141,10491.00341796875,12,16,161061273600.0,100663296000.0,B4_pabee_joint,bce,0.7566455605042577,0.0,0.07697990982879299,True,False,True,4.0,
False,43,0.013204139171944806,0.9998000399920016,0.9999475313500183,1.0,0.9998950682056663,0.77773605374056,0.9,0.9680747754309298,0.9753760854498756,0.9717117153707125,0.9857558776813571,0.9858296233603654,0.8554289142171566,9.018596649169922,0.24709129333496094,0.0007998400251381099,0.3987602233886719,0.8171732565282911,7112.313733105082,10496.75537109375,12,16,161061273600.0,100663296000.0,B4_pabee_joint,bce,0.7566455605042577,0.0,0.07697990982879299,True,False,True,4.0,
False,44,0.013588091378045728,0.9986002799440112,0.9995803608896349,0.9993706733794839,0.9997901364113326,0.7774514911493515,0.1,0.9682886381102617,0.9759468384361368,0.9721026557297165,0.9853514678368639,0.9858415083096757,0.8580283943211358,9.01259708404541,0.19910116493701935,0.0005998800043016672,0.3991601943969727,0.8174361885240926,7108.976237833034,10491.50244140625,12,16,161061273600.0,100663296000.0,B4_pabee_joint,bce,0.7566455605042577,0.0,0.07697990982879299,True,False,True,4.0,
False,42,0.013260078338373187,0.9998000399920016,0.9999475313500183,1.0,0.9998950682056663,0.7777378528366671,0.7,0.9682025971924431,0.9757022300134535,0.9719379467186485,0.9858689933553251,0.9859427390343334,0.8588282343531294,14.005799293518066,0.07593659311532974,0.005798840429633856,0.06628004709879554,0.7347613554015086,7241.98656594893,10491.00341796875,12,16,161061273600.0,150994944000.0,M1_frequency_unaware,bce,0.7566455605042577,0.0,0.07697990982879299,True,False,True,,
False,43,0.0133818904922259,0.9998000399920016,0.9999475313500183,1.0,0.9998950682056663,0.77773605374056,0.44999999999999996,0.9683452072538861,0.975253781238534,0.97178721589178,0.9857936279418908,0.9858673736208992,0.8564287142571486,14.006399154663086,0.0797436386346817,0.006398720201104879,0.06624005635579422,0.7342526123432035,7383.3501558452845,10496.75537109375,12,16,161061273600.0,150994944000.0,M1_frequency_unaware,bce,0.7566455605042577,0.0,0.07697990982879299,True,False,True,,
False,44,0.013775335099294628,0.9992001599680064,0.9997376842767955,0.9996852376455776,0.9997901364113326,0.7775736527317514,0.35,0.9675815513965803,0.9758653022952424,0.9717057725095396,0.985452966238773,0.9857217283931676,0.8560287942411517,14.002799034118652,0.052840907126665115,0.002799440175294876,0.06648006439208987,0.7340162550349466,7462.8673908221535,10491.50244140625,12,16,161061273600.0,150994944000.0,M1_frequency_unaware,bce,0.7566455605042577,0.0,0.07697990982879299,True,False,True,,
False,42,0.013262836126967322,0.9996000799840032,0.999842594050055,0.9998950571938293,0.9997901364113326,0.777652511551728,0.35,0.9680265501052291,0.9750907089567451,0.9715457887361131,0.9855729343600581,0.9856941913930841,0.8570285942811438,14.948410034179688,0.2212192863225937,0.9484103322029114,0.003439331054687522,0.7185691234633726,7568.8606848442,10491.00341796875,12,16,161061273600.0,161061273600.0,M4_full_method,bce,0.7566455605042577,0.0,0.07697990982879299,True,True,True,,
False,43,0.01328885990934474,1.0,1.0,1.0,1.0,0.7777777777777778,0.25,0.9683946420622395,0.9755799258021118,0.971974004874086,0.985987002437043,0.985987002437043,0.858628274345131,14.948410034179688,0.2212192863225937,0.9484103322029114,0.003439331054687522,0.7190822382419588,7244.851939506829,10496.75537109375,12,16,161061273600.0,161061273600.0,M4_full_method,bce,0.7566455605042577,0.0,0.07697990982879299,True,True,True,,
False,44,0.013169870224757437,0.9998000399920016,0.9999475368553591,0.9998950792151925,1.0,0.7777359909740504,0.3,0.9680485338725986,0.9757837661543479,0.9719007593291916,0.9858503996605966,0.9859241480922754,0.857628474305139,14.948410034179688,0.2212192863225937,0.9484103322029114,0.003439331054687522,0.718806576645369,7259.360485641286,10491.50244140625,12,16,161061273600.0,161061273600.0,M4_full_method,bce,0.7566455605042577,0.0,0.07697990982879299,True,True,True,,
